[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]	:		111111111 ERR
[5, 5, 5, 5, 5, 5, 5, 5, 5, 0]	:		555555555 ERR
[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	:		000000000
[3, 3, 3, 3, 3, 3, 3, 3, 3, 0]	:		333333333 ERR
[7, 7, 7, 7, 7, 7, 7, 7, 7, 0]	:		777777777 ERR
[2, 2, 2, 2, 2, 2, 2, 2, 2, 0]	:		222222222 ERR
[4, 4, 4, 4, 4, 4, 4, 4, 4, 0]	:		444444444 ERR
[9, 9, 9, 9, 9, 9, 9, 9, 9, 0]	:		999999999 ERR
[6, 6, 6, 6, 6, 6, 6, 6, 6, 0]	:		666666666 ERR
[8, 8, 8, 8, 8, 8, 8, 8, 8, 0]	:		888888888 ERR
[1, 2, 3, 4, 5, 6, 7, 8, 9, 1]	:		123456789
[1, 2, 3, 4, -57, 6, 7, 8, -186, -2]	:		1234?678? ILL
[4, 9, 0, 0, 6, 7, 7, 1, -57, -1]	:		49006771? ILL
[0, 0, 0, 0, 0, 0, 0, 5, 1, 1]	:		000000051
[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]	:		111111111 ERR
[-219, -219, -219, -219, -219, -219, -219, -219, -219, -9]	:		????????? ILL
[3, 3, 3, 3, 3, 3, 3, 3, 3, 0]	:		333333333 ERR
[5, 5, 5, 5, 5, 5, 5, 5, 5, 0]	:		555555555 ERR
[7, 7, 7, 7, 7, 7, 7, 7, 7, 0]	:		777777777 ERR
[9, 9, 9, 9, 9, 9, 9, 9, 9, 0]	:		999999999 ERR
[2, 0, 0, 0, 0, 0, 0, 0, 0, 0]	:		200000000 ERR
[6, 6, 6, 6, 6, 6, 6, 6, 6, 0]	:		666666666 ERR
[4, 9, 0, 0, 6, 7, 7, 1, 5, 0]	:		490067715 ERR
[4, 9, 0, 8, 6, 7, 7, 1, -57, -1]	:		49086771? ILL
[-19, 2, 3, 4, 5, 6, 7, 8, 9, -1]	:		?23456789 ILL
[0, -203, 0, 0, 0, 0, 0, 5, 1, -1]	:		0?0000051 ILL
